ï»¿"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary"
"","4146380","34608000","Alanine aminotransferase measurement","Procedure","Standard","0","28,346","Measurement","SNOMED"
"","4211515","56935002","Alanine aminotransferase","Substance","Standard","0","0","Observation","SNOMED"
"","40782579","LP15333-5","Alanine aminotransferase","LOINC Hierarchy","Classification","0","0","Measurement","LOINC"
"","4041531","166646003","Alanine aminotransferase (ALT) (serum glutamic-pyruvic transaminase) (SGPT) level abnormal","Clinical Finding","Standard","0","0","Condition","SNOMED"
"","4042564","166645004","Alanine aminotransferase (ALT) (serum glutamic-pyruvic transaminase) (SGPT) level normal","Clinical Finding","Standard","0","0","Condition","SNOMED"
"","40776993","LP45402-2","Alanine Aminotransferase | Amniotic Fluid","LOINC Hierarchy","Classification","0","0","Measurement","LOINC"
"","3019056","16325-3","Alanine aminotransferase/Aspartate aminotransferase [Enzymatic activity ratio] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","40796722","LP44699-4","Alanine Aminotransferase | Bld-Ser-Plas","LOINC Hierarchy","Classification","0","0","Measurement","LOINC"
"","40790490","LP48132-2","Alanine Aminotransferase | Body Fluid","LOINC Hierarchy","Classification","0","0","Measurement","LOINC"
"","40774803","LP65198-1","Alanine Aminotransferase | Dialysis fluid","LOINC Hierarchy","Classification","0","0","Measurement","LOINC"
"","3004056","1741-8","Alanine aminotransferase [Enzymatic activity/volume] in Amniotic fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","46235106","76625-3","Alanine aminotransferase [Enzymatic activity/volume] in Blood","Lab Test","Standard","0","0","Measurement","LOINC"
"","3000784","25302-1","Alanine aminotransferase [Enzymatic activity/volume] in Body fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","3028946","50168-4","Alanine aminotransferase [Enzymatic activity/volume] in Dialysis fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","40757622","54491-6","Alanine aminotransferase [Enzymatic activity/volume] in Peritoneal fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","40757623","54492-4","Alanine aminotransferase [Enzymatic activity/volume] in Pleural fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","3015912","16324-6","Alanine aminotransferase [Enzymatic activity/volume] in Red Blood Cells","Lab Test","Standard","0","0","Measurement","LOINC"
"","3027388","1744-2","Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by Without P-5'-P","Lab Test","Standard","0","0","Measurement","LOINC"
"","3005755","1743-4","Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P","Lab Test","Standard","0","0","Measurement","LOINC"
"","46236949","77144-4","Alanine aminotransferase [Enzymatic activity/volume] in Serum, Plasma or Blood","Lab Test","Standard","0","0","Measurement","LOINC"
"","3045928","44785-4","Alanine aminotransferase [Enzymatic activity/volume] (Maximum value during study) in Serum or Plasma by Without P-5'-P","Lab Test","Standard","0","0","Measurement","LOINC"
"","40781381","LP62238-8","Alanine aminotransferase.macromolecular | Bld-Ser-Plas","LOINC Hierarchy","Classification","0","0","Measurement","LOINC"
"","3052018","48134-1","Alanine aminotransferase.macromolecular [Enzymatic activity/volume] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","40798341","LP89684-2","Alanine aminotransferase | Peritoneal fluid","LOINC Hierarchy","Classification","0","0","Measurement","LOINC"
"","40778526","LP89685-9","Alanine aminotransferase | Pleural fluid","LOINC Hierarchy","Classification","0","0","Measurement","LOINC"
"","40790133","LP44698-6","Alanine Aminotransferase | Red Blood Cells","LOINC Hierarchy","Classification","0","0","Measurement","LOINC"
"","3006923","1742-6","Alanine aminotransferase serum/plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3022893","1916-6","Aspartate aminotransferase/Alanine aminotransferase [Enzymatic activity ratio] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","37392316","1002541000000108","Aspartate aminotransferase/alanine aminotransferase ratio","Observable Entity","Standard","0","0","Observation","SNOMED"
"","45508548","44lzW00","Aspartate aminotransferase/alanine aminotransferase ratio","Read","Non-Standard","0","0","Observation","Read"
"","4225413","85043005","D-Alanine aminotransferase","Substance","Standard","0","0","Observation","SNOMED"
"","4049576","124285000","Deficiency of alanine aminotransferase","Clinical Finding","Standard","0","0","Condition","SNOMED"
"","4077125","17965004","Dihydroxyphenylalanine aminotransferase","Substance","Standard","0","0","Observation","SNOMED"
"","4190899","390961000","Plasma alanine aminotransferase level","Procedure","Standard","0","0","Measurement","SNOMED"
"","45438598","44GA.00","Plasma alanine aminotransferase level","Read","Non-Standard","0","0","Observation","Read"
"","37393142","1013211000000103","Plasma alanine aminotransferase level","Observable Entity","Standard","0","0","Observation","SNOMED"
"","40558873","390318006","Plasma alanine aminotransferase level","Procedure","Non-Standard","0","0","Procedure","SNOMED"
"","40563834","389586005","Plasma alanine aminotransferase level","Procedure","Non-Standard","0","0","Procedure","SNOMED"
"","45482065","44GB.00","Serum alanine aminotransferase level","Read","Non-Standard","0","0","Observation","Read"
"","37393531","1018251000000107","Serum alanine aminotransferase level","Observable Entity","Standard","0","0","Observation","SNOMED"
"","44788835","201321000000108","Serum alanine aminotransferase level","Procedure","Standard","0","0","Measurement","SNOMED"
