ï»¿"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary"
"","4263457","45896001","Aspartate aminotransferase measurement","Procedure","Standard","0","24,424","Measurement","SNOMED"
"","3019056","16325-3","Alanine aminotransferase/Aspartate aminotransferase [Enzymatic activity ratio] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","40785861","LP15426-7","Aspartate aminotransferase","LOINC Hierarchy","Classification","0","0","Measurement","LOINC"
"","4094657","26091008","Aspartate aminotransferase","Substance","Standard","0","0","Observation","SNOMED"
"","3022893","1916-6","Aspartate aminotransferase/Alanine aminotransferase [Enzymatic activity ratio] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","45508548","44lzW00","Aspartate aminotransferase/alanine aminotransferase ratio","Read","Non-Standard","0","0","Observation","Read"
"","37392316","1002541000000108","Aspartate aminotransferase/alanine aminotransferase ratio","Observable Entity","Standard","0","0","Observation","SNOMED"
"","40790301","LP46117-5","Aspartate Aminotransferase | Amniotic Fluid","LOINC Hierarchy","Classification","0","0","Measurement","LOINC"
"","40787003","LP45656-3","Aspartate Aminotransferase | Bld-Ser-Plas","LOINC Hierarchy","Classification","0","0","Measurement","LOINC"
"","40787063","LP46130-8","Aspartate Aminotransferase | Body Fluid","LOINC Hierarchy","Classification","0","0","Measurement","LOINC"
"","40793558","LP46121-7","Aspartate Aminotransferase | Cerebral spinal fluid","LOINC Hierarchy","Classification","0","0","Measurement","LOINC"
"","4315303","N0000168383","Aspartate Aminotransferase, Cytoplasmic","Chemical Structure","Classification","0","0","Drug","NDFRT"
"","40776762","LP43343-0","Aspartate Aminotransferase | Dialysis fluid","LOINC Hierarchy","Classification","0","0","Measurement","LOINC"
"","3023488","1917-4","Aspartate aminotransferase [Enzymatic activity/volume] in Amniotic fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","3003792","1919-0","Aspartate aminotransferase [Enzymatic activity/volume] in Body fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","3000477","1918-2","Aspartate aminotransferase [Enzymatic activity/volume] in Cerebral spinal fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","3026390","14414-7","Aspartate aminotransferase [Enzymatic activity/volume] in Dialysis fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","3025649","14412-1","Aspartate aminotransferase [Enzymatic activity/volume] in Gastric fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","3024515","14410-5","Aspartate aminotransferase [Enzymatic activity/volume] in Peritoneal fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","3011732","14409-7","Aspartate aminotransferase [Enzymatic activity/volume] in Pleural fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","3005435","16412-9","Aspartate aminotransferase [Enzymatic activity/volume] in Red Blood Cells","Lab Test","Standard","0","0","Measurement","LOINC"
