ï»¿"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary"
"","21602919","J01DF01","aztreonam","ATC 5th","Classification","0","265","Drug","ATC"
"","1715117","1272","Aztreonam","Ingredient","Standard","132","265","Drug","RxNorm"
"","4348336","N0000005876","Aztreonam","Chemical Structure","Classification","0","265","Drug","NDFRT"
"","45667209","9a105eaf-ee77-4016-beeb-d425a5565db2","AZACTAM - aztreonam injection, powder, for solution","Prescription Drug","Classification","0","240","Drug","SPL"
"","45703447","1b11750e-4db4-4dd3-8b21-c9917b00aeaa","AZACTAM - aztreonam injection, solution","Prescription Drug","Classification","0","240","Drug","SPL"
"","45707154","c6cf7e13-a04e-47e2-9cec-44a278ee6bec","AZTREONAM - aztreonam injection, powder, lyophilized, for solution","Prescription Drug","Classification","0","240","Drug","SPL"
"","46239928","302fd27d-0a22-44ea-91fb-1b1ffcf17a1f","AZTREONAM - aztreonam injection, powder, lyophilized, for solution","Prescription Drug","Classification","0","240","Drug","SPL"
"","46314450","5f5ebb63-6ac5-4fb4-bcc1-d069c123eb18","AZTREONAM - aztreonam injection, powder, lyophilized, for solution","Prescription Drug","Classification","0","240","Drug","SPL"
"","45646356","d598f95b-92dd-4ef5-ae97-d68972258e44","AZACTAM - aztreonam injection, powder, for solution","Prescription Drug","Classification","0","228","Drug","SPL"
"","45779415","0d2b8cc7-2781-44e4-8aa7-f613eebb87db","aztreonam KIT [cayston]","Prescription Drug","Classification","0","157","Drug","SPL"
"","45638488","67300ca3-8c53-4ce4-8e86-2c03be1f9b8a","CAYSTON - aztreonam kit","Prescription Drug","Classification","0","157","Drug","SPL"
"","36212966","1155015","Aztreonam Injectable Product","Clinical Dose Group","Classification","0","108","Drug","RxNorm"
"","46287306","1664980","Aztreonam Injection","Clinical Drug Form","Standard","0","108","Drug","RxNorm"
"","46287305","1664979","Aztreonam 1000 MG","Clinical Drug Comp","Standard","0","96","Drug","RxNorm"
"","46287307","1664981","Aztreonam 1000 MG Injection","Clinical Drug","Standard","80","96","Drug","RxNorm"
"","40173626","901608","Aztreonam 75 MG/ML","Clinical Drug Comp","Standard","0","25","Drug","RxNorm"
"","40173629","901612","Aztreonam 75 MG/ML [Cayston]","Branded Drug Comp","Standard","0","25","Drug","RxNorm"
"","40173627","901610","Aztreonam 75 MG/ML Inhalant Solution","Clinical Drug","Standard","0","25","Drug","RxNorm"
"","40173628","901614","Aztreonam 75 MG/ML Inhalant Solution [Cayston]","Branded Drug","Standard","25","25","Drug","RxNorm"
"","36212965","1155014","Aztreonam Inhalant Product","Clinical Dose Group","Classification","0","25","Drug","RxNorm"
"","40173630","901609","Aztreonam Inhalant Solution","Clinical Drug Form","Standard","0","25","Drug","RxNorm"
"","40173631","901613","Aztreonam Inhalant Solution [Cayston]","Branded Drug Form","Standard","0","25","Drug","RxNorm"
"","46287309","1664983","Aztreonam Injection [Azactam]","Branded Drug Form","Standard","0","20","Drug","RxNorm"
"","46287308","1664982","Aztreonam 1000 MG [Azactam]","Branded Drug Comp","Standard","0","16","Drug","RxNorm"
"","46287310","1664984","Aztreonam 1000 MG Injection [Azactam]","Branded Drug","Standard","16","16","Drug","RxNorm"
"","46287311","1664985","Aztreonam 2000 MG","Clinical Drug Comp","Standard","0","12","Drug","RxNorm"
"","46287312","1664986","Aztreonam 2000 MG Injection","Clinical Drug","Standard","8","12","Drug","RxNorm"
"","46287313","1664987","Aztreonam 2000 MG [Azactam]","Branded Drug Comp","Standard","0","4","Drug","RxNorm"
"","46287314","1664988","Aztreonam 2000 MG Injection [Azactam]","Branded Drug","Standard","4","4","Drug","RxNorm"
"","41425266","OMOP2623228","100 ML Aztreonam 20 MG/ML Injectable Solution","Quant Clinical Drug","Standard","0","0","Drug","RxNorm Extension"
"","41420541","OMOP2618503","100 ML Aztreonam 20 MG/ML Injectable Solution [Azactam]","Quant Branded Drug","Standard","0","0","Drug","RxNorm Extension"
"","41423136","OMOP2621098","100 ML Aztreonam 20 MG/ML Injectable Solution [Azactam] Box of 5","Quant Branded Box","Standard","0","0","Drug","RxNorm Extension"
"","41423135","OMOP2621097","100 ML Aztreonam 20 MG/ML Injectable Solution [Azactam] Box of 500","Quant Branded Box","Standard","0","0","Drug","RxNorm Extension"
"","41415821","OMOP2613783","100 ML Aztreonam 20 MG/ML Injectable Solution Box of 5","Quant Clinical Box","Standard","0","0","Drug","RxNorm Extension"
