ï»¿"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary"
"","21602896","J01DD02","ceftazidime","ATC 5th","Classification","0","2,678","Drug","ATC"
"","1776684","2191","Ceftazidime","Ingredient","Standard","1,337","2,678","Drug","RxNorm"
"","4325158","N0000005860","Ceftazidime","Chemical Structure","Classification","0","2,678","Drug","NDFRT"
"","45706159","981b9abe-4c76-41b2-8f36-eb3e28fa5adc","FORTAZ - ceftazidime injection, powder, for solution","Prescription Drug","Classification","0","2,088","Drug","SPL"
"","42806798","78982c98-7866-49f1-989f-a289c4242358","FORTAZ - ceftazidime injection, powder, for solution","Prescription Drug","Classification","0","1,989","Drug","SPL"
"","45692292","1b41f272-0727-4ce5-a4af-6255061a08b0","CEFTAZIDIME AND DEXTROSE - ceftazidime injection, solution","Prescription Drug","Classification","0","1,760","Drug","SPL"
"","45629315","bcc81df2-20e3-4738-bfcf-301da883c1d9","CEFTAZIDIME - ceftazidime injection, powder, for solution","Prescription Drug","Classification","0","1,760","Drug","SPL"
"","45636660","112c5457-8d71-49f5-b531-9761d7d38c93","CEFTAZIDIME - ceftazidime injection, powder, for solution","Prescription Drug","Classification","0","1,760","Drug","SPL"
"","46316492","bfd92fd8-3014-44dd-b69b-4276262a51fa","CEFTAZIDIME - ceftazidime injection, powder, for solution","Prescription Drug","Classification","0","1,760","Drug","SPL"
"","45644319","757c31dc-99ef-4960-b118-738b79631b1a","CEFTAZIDIME - ceftazidime injection, powder, for solution","Prescription Drug","Classification","0","1,760","Drug","SPL"
"","45661815","9b73979c-c95a-4433-0a9d-f9cea3cb557f","TAZICEF - ceftazidime injection, powder, for solution","Prescription Drug","Classification","0","1,723","Drug","SPL"
"","46290334","40d48c5d-650e-461b-a67b-7e65772d1b92","TAZICEF - ceftazidime injection, powder, for solution","Prescription Drug","Classification","0","1,723","Drug","SPL"
"","45684705","bd655f2b-0e2e-47b4-a737-7f7e906b091b","ceftazidime 200mg/mL INTRAVENOUS INJECTION, POWDER, FOR SOLUTION","Prescription Drug","Classification","0","1,579","Drug","SPL"
"","45781918","250aa1a6-5e79-45c6-92b3-b14c558666ac","ceftazidime 6g/100mL INTRAVENOUS INJECTION, POWDER, FOR SOLUTION","Prescription Drug","Classification","0","1,579","Drug","SPL"
"","45894890","372da52d-1554-453b-92db-fd5f479e6855","ceftazidime 6g/30mL INTRAVENOUS INJECTION, POWDER, FOR SOLUTION","Prescription Drug","Classification","0","1,579","Drug","SPL"
"","45684175","a2f71348-aeb3-4640-bd3e-c4707fe9c3f1","ceftazidime 6g/30mL INTRAVENOUS INJECTION, POWDER, FOR SOLUTION","Prescription Drug","Classification","0","1,579","Drug","SPL"
"","46317618","6e454496-f924-4e04-bbeb-1c1fee7082cd","CEFTAZIDIME - ceftazidime injection, powder, for solution","Prescription Drug","Classification","0","1,579","Drug","SPL"
"","45695479","aec64360-8452-4987-a366-a5a4f8762ab6","CEFTAZIDIME - ceftazidime injection, powder, for solution","Prescription Drug","Classification","0","1,579","Drug","SPL"
"","45639723","a32a9a03-03ac-45f2-8af5-f5481020144f","CEFTAZIDIME - ceftazidime injection, powder, for solution","Prescription Drug","Classification","0","1,579","Drug","SPL"
"","45653684","22d6534c-4488-48a1-8d78-e2fb908259de","CEFTAZIDIME - ceftazidime injection, powder, for solution","Prescription Drug","Classification","0","1,579","Drug","SPL"
"","42802754","8b55504e-38c5-fa0c-7766-ee68d38c041b","FORTAZ - ceftazidime injection, powder, for solution","Prescription Drug","Classification","0","1,579","Drug","SPL"
"","45783070","2fca6acb-f9a0-4aa2-951e-e9bed8ed5cc1","ceftazidime 6g/1 INTRAVENOUS INJECTION, POWDER, FOR SOLUTION [tazicef]","Prescription Drug","Classification","0","1,477","Drug","SPL"
"","45692283","1ab5ae3e-e303-4499-4c89-472d7cc1e46c","TAZICEF - ceftazidime injection, powder, for solution","Prescription Drug","Classification","0","1,477","Drug","SPL"
"","45800210","d6c614b3-dd2e-4abc-ad78-80c9b01ad9b2","Multiple formulations: ceftazidime, ceftazidime sodium 20mg/mL / 40mg/mL / 56mg/mL / 100mg/mL / 111mg/mL / 170mg/mL / 200mg/mL INTRAMUSCULAR; INTRAVENOUS, INTRAVENOUS INJECTION, POWDER, FOR SOLUTION, INJECTION, SOLUTION [fortaz]","Prescription Drug","Classification","0","1,474","Drug","SPL"
"","45647233","fd2fa2af-5929-4152-afd3-55e4e162f765","FORTAZ - ceftazidime injection, powder, lyophilized, for solution","Prescription Drug","Classification","0","1,431","Drug","SPL"
"","46299314","d9c2803f-dc9c-4b19-b4a3-8303bc8c15fd","AVYCAZ - ceftazidime, avibactam powder, for solution","Prescription Drug","Classification","0","1,337","Drug","SPL"
"","45897241","d00cfcf1-1409-4811-bc84-5e32a6a5863f","ceftazidime, avibactam 2g/1 / .5g/1 INTRAVENOUS POWDER, FOR SOLUTION [avycaz]","Prescription Drug","Classification","0","1,337","Drug","SPL"
"","36217279","1152106","Ceftazidime Injectable Product","Clinical Dose Group","Classification","0","991","Drug","RxNorm"
"","46275510","1659277","Ceftazidime Injection","Clinical Drug Form","Standard","0","729","Drug","RxNorm"
"","46275509","1659276","Ceftazidime 500 MG","Clinical Drug Comp","Standard","0","656","Drug","RxNorm"
"","36887840","OMOP1005204","Ceftazidime 500 MG Prefilled Syringe","Clinical Drug","Standard","350","350","Drug","RxNorm Extension"
"","36892521","OMOP990010","Ceftazidime Prefilled Syringe","Clinical Drug Form","Standard","0","350","Drug","RxNorm Extension"
"","46275511","1659278","Ceftazidime 500 MG Injection","Clinical Drug","Standard","276","306","Drug","RxNorm"
"","46275519","1659286","Ceftazidime 2000 MG","Clinical Drug Comp","Standard","0","291","Drug","RxNorm"
"","46275520","1659287","Ceftazidime 2000 MG Injection","Clinical Drug","Standard","197","291","Drug","RxNorm"
"","40025074","371337","Ceftazidime Injectable Solution","Clinical Drug Form","Standard","0","262","Drug","RxNorm"
"","1776758","336212","Ceftazidime 200 MG/ML","Clinical Drug Comp","Standard","0","242","Drug","RxNorm"
"","19058684","242800","Ceftazidime 200 MG/ML Injectable Solution","Clinical Drug","Standard","133","242","Drug","RxNorm"
"","46275515","1659282","Ceftazidime 1000 MG","Clinical Drug Comp","Standard","0","132","Drug","RxNorm"
"","46275516","1659283","Ceftazidime 1000 MG Injection","Clinical Drug","Standard","74","132","Drug","RxNorm"
"","46275524","1659291","Ceftazidime Injection [Tazicef]","Branded Drug Form","Standard","0","115","Drug","RxNorm"
"","19032384","206424","Ceftazidime 200 MG/ML Injectable Solution [Tazidime]","Branded Drug","Standard","89","89","Drug","RxNorm"
"","19046397","567262","Ceftazidime 200 MG/ML [Tazidime]","Branded Drug Comp","Standard","0","89","Drug","RxNorm"
"","40025078","362909","Ceftazidime Injectable Solution [Tazidime]","Branded Drug Form","Standard","0","89","Drug","RxNorm"
"","46275527","1659294","Ceftazidime 2000 MG Injection [Tazicef]","Branded Drug","Standard","77","77","Drug","RxNorm"
"","46275526","1659293","Ceftazidime 2000 MG [Tazicef]","Branded Drug Comp","Standard","0","77","Drug","RxNorm"
"","46275513","1659280","Ceftazidime Injection [Fortaz]","Branded Drug Form","Standard","0","67","Drug","RxNorm"
"","46275525","1659292","Ceftazidime 1000 MG Injection [Tazicef]","Branded Drug","Standard","38","38","Drug","RxNorm"
"","46275523","1659290","Ceftazidime 1000 MG [Tazicef]","Branded Drug Comp","Standard","0","38","Drug","RxNorm"
"","46275512","1659279","Ceftazidime 500 MG [Fortaz]","Branded Drug Comp","Standard","0","30","Drug","RxNorm"
"","46275514","1659281","Ceftazidime 500 MG Injection [Fortaz]","Branded Drug","Standard","30","30","Drug","RxNorm"
"","40025075","92113","Ceftazidime Injectable Solution [Ceptaz]","Branded Drug Form","Standard","0","25","Drug","RxNorm"
"","46275517","1659284","Ceftazidime 1000 MG [Fortaz]","Branded Drug Comp","Standard","0","20","Drug","RxNorm"
"","46275518","1659285","Ceftazidime 1000 MG Injection [Fortaz]","Branded Drug","Standard","20","20","Drug","RxNorm"
"","46275521","1659288","Ceftazidime 2000 MG [Fortaz]","Branded Drug Comp","Standard","0","17","Drug","RxNorm"
"","46275522","1659289","Ceftazidime 2000 MG Injection [Fortaz]","Branded Drug","Standard","17","17","Drug","RxNorm"
"","1776761","346219","Ceftazidime 250 MG/ML","Clinical Drug Comp","Standard","0","16","Drug","RxNorm"
"","19058210","567242","Ceftazidime 250 MG/ML [Ceptaz]","Branded Drug Comp","Standard","0","16","Drug","RxNorm"
"","19057790","240447","Ceftazidime 250 MG/ML Injectable Solution","Clinical Drug","Standard","0","16","Drug","RxNorm"
"","19032304","206404","Ceftazidime 250 MG/ML Injectable Solution [Ceptaz]","Branded Drug","Standard","16","16","Drug","RxNorm"
"","40025077","94251","Ceftazidime Injectable Solution [Tazicef]","Branded Drug Form","Standard","0","11","Drug","RxNorm"
"","19058221","567245","Ceftazidime 200 MG/ML [Ceptaz]","Branded Drug Comp","Standard","0","9","Drug","RxNorm"
"","19032307","206407","Ceftazidime 200 MG/ML Injectable Solution [Ceptaz]","Branded Drug","Standard","9","9","Drug","RxNorm"
"","19032383","206423","Ceftazidime 200 MG/ML Injectable Solution [Tazicef]","Branded Drug","Standard","7","7","Drug","RxNorm"
"","19046427","567261","Ceftazidime 200 MG/ML [Tazicef]","Branded Drug Comp","Standard","0","7","Drug","RxNorm"
"","1776783","393376","Ceftazidime 10 MG/ML","Clinical Drug Comp","Standard","0","4","Drug","RxNorm"
"","19101717","389025","Ceftazidime 10 MG/ML Injectable Solution","Clinical Drug","Standard","0","4","Drug","RxNorm"
"","40240571","1114500","Ceftazidime 10 MG/ML Injectable Solution [Tazicef]","Branded Drug","Standard","4","4","Drug","RxNorm"
"","40240572","1114499","Ceftazidime 10 MG/ML [Tazicef]","Branded Drug Comp","Standard","0","4","Drug","RxNorm"
"","19118124","567260","Ceftazidime 200 MG/ML [Fortaz]","Branded Drug Comp","Standard","0","4","Drug","RxNorm"
"","19032382","206422","Ceftazidime 200 MG/ML Injectable Solution [Fortaz]","Branded Drug","Standard","4","4","Drug","RxNorm"
"","40025076","362977","Ceftazidime Injectable Solution [Fortaz]","Branded Drug Form","Standard","0","4","Drug","RxNorm"
"","41425224","OMOP2623186","100 ML Ceftazidime 20 MG/ML Injectable Solution","Quant Clinical Drug","Standard","0","0","Drug","RxNorm Extension"
"","41417481","OMOP2615443","100 ML Ceftazidime 20 MG/ML Injectable Solution Box of 1","Quant Clinical Box","Standard","0","0","Drug","RxNorm Extension"
"","41424758","OMOP2622720","100 ML Ceftazidime 20 MG/ML Injectable Solution [CEFTAZIDIME SANDOZ]","Quant Branded Drug","Standard","0","0","Drug","RxNorm Extension"
"","41415300","OMOP2613262","100 ML Ceftazidime 20 MG/ML Injectable Solution [CEFTAZIDIME SANDOZ] Box of 1","Quant Branded Box","Standard","0","0","Drug","RxNorm Extension"
