ï»¿"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary"
"","3042545","53524-5","Alkaline phosphatase.bile/Alkaline phosphatase.total in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3007970","20426-3","Alkaline phosphatase.bile [Enzymatic activity/volume] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3002069","15013-6","Alkaline phosphatase.bone/Alkaline phosphatase.total in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3001467","1777-2","Alkaline phosphatase.bone [Enzymatic activity/volume] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3018910","17838-4","Alkaline phosphatase.bone [Mass/volume] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3042479","40797-3","Alkaline phosphatase.bone [Presence] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","44816887","74996-0","Alkaline phosphatase.bone [Z-score] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3035756","29639-2","Alkaline phosphatase [Enzymatic activity/mass] in Tissue","Lab Test","Standard","0","0","Measurement","LOINC"
"","40758037","54907-1","Alkaline phosphatase [Enzymatic activity/volume] in Amniotic fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","3001110","1783-0","Alkaline phosphatase [Enzymatic activity/volume] in Blood","Lab Test","Standard","0","0","Measurement","LOINC"
"","3005090","15148-0","Alkaline phosphatase [Enzymatic activity/volume] in Body fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","40759092","55971-6","Alkaline phosphatase [Enzymatic activity/volume] in Cord blood","Lab Test","Standard","0","0","Measurement","LOINC"
"","40762257","59164-4","Alkaline phosphatase [Enzymatic activity/volume] in Dialysis fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","3043944","40410-3","Alkaline phosphatase [Enzymatic activity/volume] in Peritoneal fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","46235077","77141-0","Alkaline phosphatase [Enzymatic activity/volume] in Serum, Plasma or Blood","Lab Test","Standard","0","0","Measurement","LOINC"
"","3001077","16337-8","Alkaline phosphatase [Enzymatic activity/volume] in Urine","Lab Test","Standard","0","0","Measurement","LOINC"
"","3042999","43731-9","Alkaline phosphatase.fetal+lung+lymphocyte [Presence] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3031205","42718-7","Alkaline phosphatase.heat labile/Alkaline phosphatase.total in Serum or Plasma by Heat stability","Lab Test","Standard","0","0","Measurement","LOINC"
"","3011081","32351-9","Alkaline phosphatase.heat labile [Enzymatic activity/volume] in Serum or Plasma by Heat stability","Lab Test","Standard","0","0","Measurement","LOINC"
"","3046195","43382-1","Alkaline phosphatase.heat stable/Alkaline phosphatase.total in Serum or Plasma by Heat stability","Lab Test","Standard","0","0","Measurement","LOINC"
"","3016506","32352-7","Alkaline phosphatase.heat stable [Enzymatic activity/volume] in Serum or Plasma by Heat stability","Lab Test","Standard","0","0","Measurement","LOINC"
"","3044998","43710-3","Alkaline phosphatase.heat stable [Presence] in Serum or Plasma by Heat stability","Lab Test","Standard","0","0","Measurement","LOINC"
"","3039488","53578-1","Alkaline phosphatase.intestinal 2/Alkaline phosphatase.total in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","42870305","71365-1","Alkaline phosphatase.intestinal 2 [Enzymatic activity/volume] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3039730","53579-9","Alkaline phosphatase.intestinal 3/Alkaline phosphatase.total in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","42870306","71366-9","Alkaline phosphatase.intestinal 3 [Enzymatic activity/volume] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3020990","15014-4","Alkaline phosphatase.intestinal/Alkaline phosphatase.total in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3020013","1778-0","Alkaline phosphatase.intestinal [Enzymatic activity/volume] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3044539","40794-0","Alkaline phosphatase.intestinal [Presence] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3044478","43709-5","Alkaline phosphatase.intestinal+renal [Presence] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3028564","24332-9","Alkaline phosphatase isoenz panel - Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3021952","16182-8","Alkaline phosphatase isoenzymes [Enzymatic activity/volume] in Serum or Plasma by Heat stability","Lab Test","Standard","0","0","Measurement","LOINC"
"","3043435","33063-9","Alkaline phosphatase isoenzymes [Enzymatic activity/volume] in Serum or Plasma by Levamisole inhibition","Lab Test","Standard","0","0","Measurement","LOINC"
"","3037908","14588-8","Alkaline phosphatase isoenzymes [Interpretation] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3049181","49243-9","Alkaline phosphatase isoenzymes [Interpretation] in Serum or Plasma Narrative","Lab Test","Standard","0","0","Measurement","LOINC"
"","3028089","12805-8","Alkaline phosphatase isoenzyme [Units/volume] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3021434","15348-6","Alkaline phosphatase.liver 1/Alkaline phosphatase.total in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3035062","13874-3","Alkaline phosphatase.liver 1 [Enzymatic activity/volume] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3038812","40796-5","Alkaline phosphatase.liver 1 [Presence] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3026942","15349-4","Alkaline phosphatase.liver 2/Alkaline phosphatase.total in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3036185","13875-0","Alkaline phosphatase.liver 2 [Enzymatic activity/volume] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3042572","40795-7","Alkaline phosphatase.liver 2 [Presence] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3036955","15015-1","Alkaline phosphatase.liver/Alkaline phosphatase.total in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3047120","43708-7","Alkaline phosphatase.liver+bone [Presence] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3035400","1779-8","Alkaline phosphatase.liver [Enzymatic activity/volume] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3003279","32135-6","Alkaline phosphatase.liver [Enzymatic activity/volume] in Serum or Plasma by Heat stability","Lab Test","Standard","0","0","Measurement","LOINC"
"","3044715","43939-8","Alkaline phosphatase.liver [Presence] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3028622","12806-6","Alkaline phosphatase.lung [Enzymatic activity/volume] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3028993","49924-4","Alkaline phosphatase.macro/Alkaline phosphatase.total in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3034550","35707-9","Alkaline phosphatase.macrohepatic/Alkaline phosphatase.total in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3003650","1775-6","Alkaline phosphatase [Mass/volume] in Body fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","3002555","1776-4","Alkaline phosphatase [Mass/volume] in Urine","Lab Test","Standard","0","0","Measurement","LOINC"
"","3011887","26010-9","Alkaline phosphatase.other fractions/Alkaline phosphatase.total in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3045684","33421-9","Alkaline phosphatase.other fractions [Enzymatic activity/volume] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","42870304","71363-6","Alkaline phosphatase.placental 2/Alkaline phosphatase.total in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","42870307","71367-7","Alkaline phosphatase.placental 2 [Enzymatic activity/volume] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3010269","10458-8","Alkaline phosphatase.placental Ag [Presence] in Tissue by Immune stain","Lab Test","Standard","0","0","Measurement","LOINC"
"","3037466","15016-9","Alkaline phosphatase.placental/Alkaline phosphatase.total in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","40762279","59188-3","Alkaline phosphatase.placental [Enzymatic activity/volume] in Cerebral spinal fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","3000235","1780-6","Alkaline phosphatase.placental [Enzymatic activity/volume] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3040951","40793-2","Alkaline phosphatase.placental [Presence] in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
"","3044329","34568-6","Alkaline phosphatase [Presence] in Body fluid","Lab Test","Standard","0","0","Measurement","LOINC"
"","3037712","15017-7","Alkaline phosphatase.regan/Alkaline phosphatase.total in Serum or Plasma","Lab Test","Standard","0","0","Measurement","LOINC"
