,Id,Code,Name,Class,Standard Concept Caption,RC,DRC,Domain,Vocabulary
,21602896,J01DD02,Ceftazidime,ATC 5th,Classification,0,2678,Drug,ATC
,4325158,N0000005860,Ceftazidime,Chemical Structure,Classification,0,2678,Drug,NDFRT
,1776684,2191,Ceftazidime,Ingredient,Standard,1337,2678,Drug,RxNorm
,45706159,981b9abe-4c76-41b2-8f36-eb3e28fa5adc,Ceftazidime,Prescription Drug,Classification,0,2088,Drug,SPL
,42806798,78982c98-7866-49f1-989f-a289c4242358,Ceftazidime,Prescription Drug,Classification,0,1989,Drug,SPL
,45692292,1b41f272-0727-4ce5-a4af-6255061a08b0,Ceftazidime,Prescription Drug,Classification,0,1760,Drug,SPL
,45636660,112c5457-8d71-49f5-b531-9761d7d38c93,Ceftazidime,Prescription Drug,Classification,0,1760,Drug,SPL
,45629315,bcc81df2-20e3-4738-bfcf-301da883c1d9,Ceftazidime,Prescription Drug,Classification,0,1760,Drug,SPL
,46316492,bfd92fd8-3014-44dd-b69b-4276262a51fa,Ceftazidime,Prescription Drug,Classification,0,1760,Drug,SPL
,45644319,757c31dc-99ef-4960-b118-738b79631b1a,Ceftazidime,Prescription Drug,Classification,0,1760,Drug,SPL
,45661815,9b73979c-c95a-4433-0a9d-f9cea3cb557f,Ceftazidime,Prescription Drug,Classification,0,1723,Drug,SPL
,46290334,40d48c5d-650e-461b-a67b-7e65772d1b92,Ceftazidime,Prescription Drug,Classification,0,1723,Drug,SPL
,45684705,bd655f2b-0e2e-47b4-a737-7f7e906b091b,Ceftazidime,Prescription Drug,Classification,0,1579,Drug,SPL
,45781918,250aa1a6-5e79-45c6-92b3-b14c558666ac,Ceftazidime,Prescription Drug,Classification,0,1579,Drug,SPL
,45684175,a2f71348-aeb3-4640-bd3e-c4707fe9c3f1,Ceftazidime,Prescription Drug,Classification,0,1579,Drug,SPL
,45894890,372da52d-1554-453b-92db-fd5f479e6855,Ceftazidime,Prescription Drug,Classification,0,1579,Drug,SPL
,45639723,a32a9a03-03ac-45f2-8af5-f5481020144f,Ceftazidime,Prescription Drug,Classification,0,1579,Drug,SPL
,45695479,aec64360-8452-4987-a366-a5a4f8762ab6,Ceftazidime,Prescription Drug,Classification,0,1579,Drug,SPL
,46317618,6e454496-f924-4e04-bbeb-1c1fee7082cd,Ceftazidime,Prescription Drug,Classification,0,1579,Drug,SPL
,45653684,22d6534c-4488-48a1-8d78-e2fb908259de,Ceftazidime,Prescription Drug,Classification,0,1579,Drug,SPL
,42802754,8b55504e-38c5-fa0c-7766-ee68d38c041b,Ceftazidime,Prescription Drug,Classification,0,1579,Drug,SPL
,45783070,2fca6acb-f9a0-4aa2-951e-e9bed8ed5cc1,Ceftazidime,Prescription Drug,Classification,0,1477,Drug,SPL
,45692283,1ab5ae3e-e303-4499-4c89-472d7cc1e46c,Ceftazidime,Prescription Drug,Classification,0,1477,Drug,SPL
,45800210,d6c614b3-dd2e-4abc-ad78-80c9b01ad9b2,Ceftazidime,Prescription Drug,Classification,0,1474,Drug,SPL
,45647233,fd2fa2af-5929-4152-afd3-55e4e162f765,Ceftazidime,Prescription Drug,Classification,0,1431,Drug,SPL
,36217279,1152106,Ceftazidime,Clinical Dose Group,Classification,0,991,Drug,RxNorm
,46275510,1659277,Ceftazidime,Clinical Drug Form,Standard,0,729,Drug,RxNorm
,46275509,1659276,Ceftazidime,Clinical Drug Comp,Standard,0,656,Drug,RxNorm
,36887840,OMOP1005204,Ceftazidime,Clinical Drug,Standard,350,350,Drug,RxNorm Extension
,36892521,OMOP990010,Ceftazidime,Clinical Drug Form,Standard,0,350,Drug,RxNorm Extension
,46275511,1659278,Ceftazidime,Clinical Drug,Standard,276,306,Drug,RxNorm
,46275519,1659286,Ceftazidime,Clinical Drug Comp,Standard,0,291,Drug,RxNorm
,46275520,1659287,Ceftazidime,Clinical Drug,Standard,197,291,Drug,RxNorm
,40025074,371337,Ceftazidime,Clinical Drug Form,Standard,0,262,Drug,RxNorm
,1776758,336212,Ceftazidime,Clinical Drug Comp,Standard,0,242,Drug,RxNorm
,19058684,242800,Ceftazidime,Clinical Drug,Standard,133,242,Drug,RxNorm
,46275515,1659282,Ceftazidime,Clinical Drug Comp,Standard,0,132,Drug,RxNorm
,46275516,1659283,Ceftazidime,Clinical Drug,Standard,74,132,Drug,RxNorm
,46275524,1659291,Ceftazidime,Branded Drug Form,Standard,0,115,Drug,RxNorm
,19032384,206424,Ceftazidime,Branded Drug,Standard,89,89,Drug,RxNorm
,19046397,567262,Ceftazidime,Branded Drug Comp,Standard,0,89,Drug,RxNorm
,40025078,362909,Ceftazidime,Branded Drug Form,Standard,0,89,Drug,RxNorm
,46275527,1659294,Ceftazidime,Branded Drug,Standard,77,77,Drug,RxNorm
,46275526,1659293,Ceftazidime,Branded Drug Comp,Standard,0,77,Drug,RxNorm
,46275513,1659280,Ceftazidime,Branded Drug Form,Standard,0,67,Drug,RxNorm
,46275525,1659292,Ceftazidime,Branded Drug,Standard,38,38,Drug,RxNorm
,46275523,1659290,Ceftazidime,Branded Drug Comp,Standard,0,38,Drug,RxNorm
,46275512,1659279,Ceftazidime,Branded Drug Comp,Standard,0,30,Drug,RxNorm
,46275514,1659281,Ceftazidime,Branded Drug,Standard,30,30,Drug,RxNorm
,40025075,92113,Ceftazidime,Branded Drug Form,Standard,0,25,Drug,RxNorm
,46275517,1659284,Ceftazidime,Branded Drug Comp,Standard,0,20,Drug,RxNorm
,46275518,1659285,Ceftazidime,Branded Drug,Standard,20,20,Drug,RxNorm
