ï»¿"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary"
"","40225606","N0000181178","Chemical and Drug Induced Liver Injury","Ind / CI","Classification","0","0","Drug","NDFRT"
"","40225607","N0000181290","Drug-Induced Liver Injury, Chronic","Ind / CI","Classification","0","0","Drug","NDFRT"
"","4050983","210178003","Liver injury with open wound into cavity, NOS","Clinical Finding","Non-Standard","0","0","Condition","SNOMED"
"","45434072","S741z00","Liver injury with open wound into cavity, NOS","Read","Non-Standard","0","0","Condition","Read"
"","45430763","S741000","Liver injury with open wound into cavity, unspecified","Read","Non-Standard","0","0","Condition","Read"
"","4054904","210172002","Liver injury with open wound into cavity, unspecified","Clinical Finding","Non-Standard","0","0","Condition","SNOMED"
"","45437386","S740000","Liver injury without mention of open wound into cavity, unspecified","Read","Non-Standard","0","0","Condition","Read"
"","4049808","210164004","Liver injury without mention of open wound into cavity, unspecified","Clinical Finding","Non-Standard","0","0","Condition","SNOMED"
"","45484200","S741y00","Other liver injury with open wound into cavity","Read","Non-Standard","0","0","Condition","Read"
"","4054905","210177008","Other liver injury with open wound into cavity","Clinical Finding","Non-Standard","0","0","Condition","SNOMED"
